cohort_id,subject_candidacy_id,certified_name,certified_name_raw,current_person_id,event_id,contest_id,source_release,source_commit
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,Brad Bradford,"Bradford, Brad",per_d8dfddfb642358e299f4b428292666bf,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_bc5a823575885135bd3bd49999e4bcc5,Sarah McVie,"McVie, Sarah",per_95cd5c92c035574ab823643b45e8a5ae,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,Alex Cruze,"Cruze, Alex",per_1b9b9e8787a65865bd53e6d237925fa2,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_c046dcbb9b5e5acea6b996edbc473dc2,Alton Frederick,"Frederick, Alton",per_3a31776c012253df85dd35d7e0aef86e,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_c4c8d5930213597eafa645ae61af7e4e,Faisal Razi,"Razi, Faisal",per_ec5f622a33165dd5b165983d27fc0023,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_c9515855307457fbb210926528eaf9b7,Jeffery Tunney,"Tunney, Jeffery",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_cb430f5236095516b8b63070dc4a0932,Leila Yohannes,"Yohannes, Leila",per_831b75aa04085c9282b33fc80c12a770,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_d082e7a701b053cfbb86a7ceadb00884,Kuo Yu Tong,"Tong, Kuo Yu",per_47e3d72824bb55a081b7327258cefcd2,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_d0e3e19e9c5759d1be096ef4e0595e34,Joshua Thompson,"Thompson, Joshua",per_1288a80fd75c55fbb612c6d5100f49b1,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_d1c1dbd9dfa95c2280361e1b54640094,Joseph Osuji,"Osuji, Joseph",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_d9ffce039e2f54399af3767b9150b791,Isidoros Kyrlangitses,"Kyrlangitses, Isidoros",per_4ee5203845785b8885d26c28dc74925a,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_dfbeced4bfdb5a9d821dcbc84ff00dd5,Thomas Hall,"Hall, Thomas",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,Habiba Desai,"Desai, Habiba",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_eb3a632108425f9caa031590ec36385e,Amy Rosen,"Rosen, Amy",per_2d8d7f89c2c15234878f7423b5e0bd51,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_f49e85b1a9455d14828c28d4887d9385,Georgios Kalkounis,"Kalkounis, Georgios",per_3c0c7b3ad7b154e5911d580ac13921c5,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_fa4a0945f8fb5c4d95bd4ff81c45cf0b,Mostafa Zandkarimi,"Zandkarimi, Mostafa",per_16d5152df0775d07944dc7b9e901c0c7,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_fb0ad10ecf0a5445bd5d89edd05589e3,Roberto Curto,"Curto, Roberto",per_cb3f9ef53dc15ef292a76f292bbc8002,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
