board_id,office_code,represented_body,display_name,short_name,boundary_regime,ward_id,official_geographic_name,city_boundary_regime,city_wards,source_authority,source_url,source_date
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,16,,toronto_council_44_wards,31;32,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,17,,toronto_council_44_wards,33;34,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,18,,toronto_council_44_wards,35;36,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,19,,toronto_council_44_wards,37;38,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,20,,toronto_council_44_wards,39;40,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,21,,toronto_council_44_wards,41;42,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2003,22,,toronto_council_44_wards,43;44,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tcdsb,4,toronto_catholic_district_school_board,Toronto Catholic District School Board,TCDSB,tcdsb-trustee-wards-2003,1,,toronto_council_44_wards,1;2;4,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tcdsb,4,toronto_catholic_district_school_board,Toronto Catholic District School Board,TCDSB,tcdsb-trustee-wards-2003,2,,toronto_council_44_wards,3;5;6,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tcdsb,4,toronto_catholic_district_school_board,Toronto Catholic District School Board,TCDSB,tcdsb-trustee-wards-2003,3,,toronto_council_44_wards,7;12,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
