endorser_key,canonical_name,endorser_type,person_id,expected_person_name,is_panel_endorser,panel_basis,eligibility_start_date,mayor_applicable,councillor_applicable,evidence_url
progress_toronto,Progress Toronto,organization,,,true,named 2023-anchored champion-selection exception,2018-01-01,true,true,https://www.progresstoronto.ca/media-release-may10-progressive-mayoral-champions
toronto_star_editorial_board,Toronto Star Editorial Board,editorial_board,,,true,2023-anchored municipal editorial-board practice,2003-01-01,true,true,https://www.thestar.com/opinion/editorials/2023/06/21/ana-bailo-is-the-best-choice-to-lead-toronto.html
toronto_sun_editorial_board,Toronto Sun Editorial Board,editorial_board,,,true,2023-anchored municipal editorial-board practice,2003-01-01,true,true,https://torontosun.com/opinion/editorials/editorial-mark-saunders-will-have-your-back
cupe_ontario,CUPE Ontario,organization,,,true,2023 endorsement plus Toronto mayoral endorsement in another event,2003-01-01,true,true,https://cupe.on.ca/public-and-private-sector-union-leaders-endorse-olivia-chow-for-mayor-of-toronto/
ett,Elementary Teachers of Toronto (ETT),organization,,,true,2023 endorsement plus Toronto mayoral endorsement in another event,2003-01-01,true,true,https://opseu.org/en/news/public-and-private-sector-union-leaders-endorse-olivia-chow-for-mayor-of-toronto/193565/
atu_local_113,Amalgamated Transit Union Local 113,organization,,,true,2023 endorsement plus formal multi-contest Toronto council slate,2003-01-01,true,true,https://wemovetoronto.ca/atu-local-113-endorses-candidates-for-the-2022-ontario-municipal-election/
david_miller,David Miller,person,per_ad293f1387af572cad45897886519bb6,David Miller,true,living amalgamated-Toronto mayor as of 2026-08-20,2003-12-01,true,true,https://www.toronto.ca/explore-enjoy/history-art-culture/mayors-councillors-reeves-chairmen/mayor-reeve-chairman/
john_tory,John Tory,person,per_a9eb70da799659daaa285f92cfed1674,John Tory,true,living amalgamated-Toronto mayor as of 2026-08-20,2014-12-01,true,true,https://www.toronto.ca/explore-enjoy/history-art-culture/mayors-councillors-reeves-chairmen/mayor-reeve-chairman/
olivia_chow,Olivia Chow,person,per_a4291ca7539b53e2acc1c4f108bc73e6,Olivia Chow,true,living amalgamated-Toronto mayor as of 2026-08-20,2023-07-12,true,true,https://www.toronto.ca/news/mayor-olivia-chow-takes-office-as-mayor-of-toronto/
