election_year,election_date,election_type,ward_system,office,ward_number,ward_name,contest_id,candidate_name,candidate_first_name,candidate_last_name,candidate_name_raw,candidate_id,candidate_id_confidence,votes,total_contest_votes,vote_share,vote_rank,n_candidates,elected,acclaimed,incumbent,incumbent_source,incumbent_confidence,source
2000,2000-11-13,general,44-ward,councillor,8,,2000-councillor-8,Peter Li Preti,Peter Li,Preti,PETER LI PRETI,c01181,1.0,5363,9494,0.5648830840530862,1,2,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,8,,2000-councillor-8,Anthony Perruzza,Anthony,Perruzza,ANTHONY PERRUZZA,c00146,1.0,4131,9494,0.4351169159469138,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,9,,2000-councillor-9,Maria Augimeri,Maria,Augimeri,MARIA AUGIMERI,c00195,1.0,8698,12018,0.7237477117656848,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,9,,2000-councillor-9,Mary Cicogna,Mary,Cicogna,MARY CICOGNA,c00484,1.0,2816,12018,0.2343151938758529,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,9,,2000-councillor-9,Frank Aceto,Frank,Aceto,FRANK ACETO,c00017,1.0,504,12018,0.04193709435846231,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,10,,2000-councillor-10,Mike Feldman,Mike,Feldman,MIKE FELDMAN,c00751,1.0,12221,14908,0.8197612020391736,1,2,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,10,,2000-councillor-10,Daniel Radin,Daniel,Radin,DANIEL RADIN,c00578,1.0,2687,14908,0.1802387979608264,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,11,,2000-councillor-11,Frances Nunziata,Frances,Nunziata,FRANCES NUNZIATA,c00785,1.0,10493,12321,0.8516354192029868,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,11,,2000-councillor-11,Mike Washuck,Mike,Washuck,MIKE WASHUCK,c01280,1.0,1828,12321,0.14836458079701323,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,12,,2000-councillor-12,Frank Di Giorgio,Frank Di,Giorgio,FRANK DI GIORGIO,c00663,1.0,4061,12217,0.3324056642383564,1,5,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,12,,2000-councillor-12,Lorenzo Zeppieri,Lorenzo,Zeppieri,LORENZO ZEPPIERI,c01193,1.0,2719,12217,0.2225587296390276,2,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,12,,2000-councillor-12,Mario Gentile,Mario,Gentile,MARIO GENTILE,c00829,1.0,2567,12217,0.21011705001227798,3,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,12,,2000-councillor-12,Sal Piccininni,Sal,Piccininni,SAL PICCININNI,c01363,1.0,1835,12217,0.1502005402308259,4,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,12,,2000-councillor-12,Paul Taylor,Paul,Taylor,PAUL TAYLOR,c01355,1.0,1035,12217,0.08471801587951215,5,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,13,,2000-councillor-13,David Miller,David,Miller,DAVID MILLER,c00606,0.8799999952316284,11274,18269,0.6171109529804587,1,2,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,13,,2000-councillor-13,Bill Saundercook,Bill,Saundercook,BILL SAUNDERCOOK,c00276,1.0,6995,18269,0.3828890470195413,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,14,,2000-councillor-14,Chris Korwin-Kuczynski,Chris,Korwin-Kuczynski,CHRIS KORWIN-KUCZYNSKI,c00456,1.0,7488,12640,0.5924050632911393,1,4,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,14,,2000-councillor-14,John Colautti,John,Colautti,JOHN COLAUTTI,c00499,1.0,4012,12640,0.31740506329113927,2,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,14,,2000-councillor-14,Victor Watson,Victor,Watson,VICTOR WATSON,c01475,1.0,724,12640,0.05727848101265823,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,14,,2000-councillor-14,Jorge Van Schouwen,Jorge Van,Schouwen,JORGE VAN SCHOUWEN,c01051,1.0,416,12640,0.03291139240506329,4,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,15,,2000-councillor-15,Howard Moscoe,Howard,Moscoe,HOWARD MOSCOE,c00938,1.0,8611,14924,0.5769900830876441,1,4,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,15,,2000-councillor-15,Tony Rizzo,Tony,Rizzo,TONY RIZZO,c01401,1.0,4984,14924,0.3339587242026266,2,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,15,,2000-councillor-15,Jim Mcmillan,Jim,Mcmillan,JIM MCMILLAN,c01004,1.0,924,14924,0.06191369606003752,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,15,,2000-councillor-15,Jason Baker,Jason,Baker,JASON BAKER,c00212,1.0,405,14924,0.027137496649691773,4,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,16,,2000-councillor-16,Anne Johnston,Anne,Johnston,ANNE JOHNSTON,c00137,1.0,8012,14833,0.5401469695948223,1,4,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,16,,2000-councillor-16,Milton Berger,Milton,Berger,MILTON BERGER,c00258,1.0,4148,14833,0.2796467336344637,2,4,False,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,16,,2000-councillor-16,Albert Pantaleo,Albert,Pantaleo,ALBERT PANTALEO,c00062,1.0,2101,14833,0.14164363244117845,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,16,,2000-councillor-16,David Lipton,David,Lipton,DAVID LIPTON,c00605,1.0,572,14833,0.03856266432953549,4,4,False,False,False,,0.85,city_web_final
