election_year,member_name,candidate_id,office,match_key,incumbent_source,confidence,candidate_id_resolution
2006,Karen Stintz,c01061,councillor,karen stintz,wikipedia,0.85,matched
2006,Norm Kelly,c01071,councillor,kelly norm,wikipedia,0.85,matched
2006,Kyle Rae,c01125,councillor,kyle rae,wikipedia,0.85,matched
2006,Peter Li Preti,c01160,councillor,li peter preti,wikipedia,0.85,matched
2006,Martin Silva,,councillor,martin silva,wikipedia,0.85,no_results_match
2006,Pam McConnell,c01222,councillor,mcconnell pam,wikipedia,0.85,matched
2006,Michael Thompson,c01240,councillor,michael thompson,wikipedia,0.85,matched
2006,Michael Walker,c01243,councillor,michael walker,wikipedia,0.85,matched
2006,Peter Milczyn,c01251,councillor,milczyn peter,wikipedia,0.85,matched
2006,Sylvia Watson,c01443,councillor,sylvia watson,wikipedia,0.85,matched
2010,A.A. Heaps,,councillor,a.a. heaps,city_attendance,0.95,no_results_match
2010,Adam Giambrone,c00022,councillor,adam giambrone,city_attendance,0.95,matched
2010,Adam Vaughan,c00028,councillor,adam vaughan,city_attendance,0.95,matched
2010,Paul Ainslie,c00047,councillor,ainslie paul,city_attendance,0.95,matched
2010,Anthony Perruzza,c00150,councillor,anthony perruzza,city_attendance,0.95,matched
2010,Brian Ashton,c00187,councillor,ashton brian,city_attendance,0.95,matched
2010,Maria Augimeri,c00199,councillor,augimeri maria,city_attendance,0.95,matched
2010,Glenn De Baeremaeker,c00212,councillor,baeremaeker de glenn,city_attendance,0.95,matched
2010,Bill Saundercook,c00277,councillor,bill saundercook,city_attendance,0.95,matched
2010,Sandra Bussin,c00354,councillor,bussin sandra,city_attendance,0.95,matched
2010,Shelley Carroll,c00389,councillor,carroll shelley,city_attendance,0.95,matched
2010,Case Ootes,c00394,councillor,case ootes,city_attendance,0.95,matched
2010,Cesar Palacio,c00400,councillor,cesar palacio,city_attendance,0.95,matched
2010,Chin Lee,c00439,councillor,chin lee,city_attendance,0.95,matched
2010,Raymond Cho,c00444,councillor,cho raymond,city_attendance,0.95,matched
2010,Cliff Jenkins,c00490,councillor,cliff jenkins,city_attendance,0.95,matched
2010,David Miller,c00598,mayor,david miller,city_attendance,0.95,matched
2010,David Shiner,c00607,councillor,david shiner,city_attendance,0.95,matched
2010,Janet Davis,c00615,councillor,davis janet,city_attendance,0.95,matched
2010,Mike Del Grande,c00629,councillor,del grande mike,city_attendance,0.95,matched
2010,Denzil Minnan-Wong,c00636,councillor,denzil minnan-wong,city_attendance,0.95,matched
2010,Frank Di Giorgio,c00654,councillor,di frank giorgio,city_attendance,0.95,matched
2010,Doug Holyday,c00687,councillor,doug holyday,city_attendance,0.95,matched
2010,Mike Feldman,,councillor,feldman mike,city_attendance,0.95,no_results_match
