district_id,represented_body,boundary_regime,official_district_id,district_name,geometry_status,geometry_missing_reason,geometry_crs,geometry,geographic_name,district_display_name,name_provenance,geometry_source_authority,geometry_source_resource,geometry_source_detail,geometry_source_year
dst_67d1a0e638e05eff94d3fc583254fe0b,canada_house_of_commons,federal-1996-representation-order,broadview-greenwood,Broadview-Greenwood,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_63883ef3b1165db082475fd4dd524fdc,canada_house_of_commons,federal-2003-representation-order,35001,Ajax-Pickering,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_5c7f49d97e1b500c8fb874c86c10474b,canada_house_of_commons,federal-2003-representation-order,35005,Beaches—East York,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_b8b84196ed7e52df8b97bb3f5297870a,canada_house_of_commons,federal-2003-representation-order,35015,Davenport,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_9f60665d10bf5e8c868039ce5faa5068,canada_house_of_commons,federal-2003-representation-order,35016,Don Valley East,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ba53feb75e295515a7fec976395f12a8,canada_house_of_commons,federal-2003-representation-order,35017,Don Valley West,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ef7ed07caafd51908684e20f9c3976d3,canada_house_of_commons,federal-2003-representation-order,35019,Eglinton—Lawrence,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_f9f2054a899f5b29903afdeb23e753a7,canada_house_of_commons,federal-2003-representation-order,35022,Etobicoke Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_e5434aacb1c5594584704f304d428428,canada_house_of_commons,federal-2003-representation-order,35023,Etobicoke—Lakeshore,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ef77e3385fda5e2ca1a3f5d4f80e7ed9,canada_house_of_commons,federal-2003-representation-order,35024,Etobicoke North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_342bb7cf09f15af19dda3175126a3a23,canada_house_of_commons,federal-2003-representation-order,35068,Parkdale—High Park,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_debd1b7ccab158c7995a4d9d222e8516,canada_house_of_commons,federal-2003-representation-order,35077,St. Paul's,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_3744596ff33b5448b4953b6087725656,canada_house_of_commons,federal-2003-representation-order,35080,Scarborough—Agincourt,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_e1e80d04b74d5291a0bd4bb3ae75a749,canada_house_of_commons,federal-2003-representation-order,35081,Scarborough Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_bb77fc5619885389a2d08772ad5572cc,canada_house_of_commons,federal-2003-representation-order,35082,Scarborough—Guildwood,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_9bc3d8beadfa59679ac37416a0371f32,canada_house_of_commons,federal-2003-representation-order,35083,Scarborough—Rouge River,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_43256155db1e5c15bf0388fbe1fcb147,canada_house_of_commons,federal-2003-representation-order,35084,Scarborough Southwest,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_833f9855578c5e41afa4546db6e63c44,canada_house_of_commons,federal-2003-representation-order,35093,Toronto Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_2b44aeb1727857e0b6020f8aab50fc7a,canada_house_of_commons,federal-2003-representation-order,35094,Toronto—Danforth,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ec7099a5f12a56dba3805f2ecfcf3f25,canada_house_of_commons,federal-2003-representation-order,35095,Trinity—Spadina,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_7960c816dafd5f6a901d49e6e65f9be4,canada_house_of_commons,federal-2003-representation-order,35100,Willowdale,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ce61b4f9d4415f01b36f187f572a4a63,canada_house_of_commons,federal-2003-representation-order,35103,York Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_785f283b3f18541f910909c0aa9950ad,canada_house_of_commons,federal-2003-representation-order,35105,York South—Weston,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_f5794c52ec5f50fca9ffc04fd7cc24d4,canada_house_of_commons,federal-2003-representation-order,35106,York West,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_9c0f5cceae84526eb3edb40ed0be4117,canada_house_of_commons,federal-2013-representation-order,35001,Ajax,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_b5af0b5ca10b5476b2b0e602c2a428d3,canada_house_of_commons,federal-2013-representation-order,35007,Beaches—East York,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_c2bfdfdeb1c35e558a986cd033434806,canada_house_of_commons,federal-2013-representation-order,35018,Davenport,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_940c7a29cb67531d867fe49523e39f59,canada_house_of_commons,federal-2013-representation-order,35019,Don Valley East,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_92017db2af865480aa8059d9ec1aee79,canada_house_of_commons,federal-2013-representation-order,35020,Don Valley North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_1ec4112389a159178b32713798005783,canada_house_of_commons,federal-2013-representation-order,35021,Don Valley West,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_878cfa42201351ad99822c60455d318f,canada_house_of_commons,federal-2013-representation-order,35024,Eglinton—Lawrence,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_1bc62eabeaad547eba65542f394ef772,canada_house_of_commons,federal-2013-representation-order,35027,Etobicoke Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_5a559e78afc85b66812839b10752bb48,canada_house_of_commons,federal-2013-representation-order,35028,Etobicoke—Lakeshore,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_46f51e7fe2f753afa59bf958f4acd933,canada_house_of_commons,federal-2013-representation-order,35029,Etobicoke North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_41e9f67431d45f4daa4524722f4c6b10,canada_house_of_commons,federal-2013-representation-order,35081,Parkdale—High Park,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_91d049e056e05c6c855c5ba55a458282,canada_house_of_commons,federal-2013-representation-order,35090,Toronto—St. Paul's,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_07e5477b7f2b5c2a91214ffad9156308,canada_house_of_commons,federal-2013-representation-order,35093,Scarborough—Agincourt,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_37f34fa1abd8523cbe7bbbfb041de0ba,canada_house_of_commons,federal-2013-representation-order,35094,Scarborough Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_37a6a2de4cf95ebf87c2a951f0ed16fa,canada_house_of_commons,federal-2013-representation-order,35095,Scarborough—Guildwood,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_541af9b010e45239b3159885e40045d5,canada_house_of_commons,federal-2013-representation-order,35096,Scarborough North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_11670634cc33529aa65ef639613628d1,canada_house_of_commons,federal-2013-representation-order,35097,Scarborough—Rouge Park,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_318428fd5bba5a75a4f2ec0ba8cd2e2b,canada_house_of_commons,federal-2013-representation-order,35098,Scarborough Southwest,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_de8904d51a775a2a9c7bfa8ffecb0ebf,canada_house_of_commons,federal-2013-representation-order,35101,Spadina—Fort York,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_d58f3bdb6a6551c5ba69aa73fe9d0f8b,canada_house_of_commons,federal-2013-representation-order,35108,Toronto Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_33975b8b144959008e9471bc04d46d9d,canada_house_of_commons,federal-2013-representation-order,35109,Toronto—Danforth,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_45baa2d62a2d50f88b119df3940fb9a2,canada_house_of_commons,federal-2013-representation-order,35110,University—Rosedale,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_a15da2272f6f5b68bc8a083f8380b0e1,canada_house_of_commons,federal-2013-representation-order,35115,Willowdale,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_070935ea15895262bd2d2f99e4ada2ac,canada_house_of_commons,federal-2013-representation-order,35118,York Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_43c826d785975637a9d02ce9b68dee05,canada_house_of_commons,federal-2013-representation-order,35120,York South—Weston,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_a06da571594557dfbebbcad2f934b2fb,canada_house_of_commons,federal-2013-representation-order,35121,Humber River—Black Creek,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_176d307cd7c759c4b750bcc406a59046,canada_house_of_commons,federal-2023-representation-order,35007,Beaches—East York,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_e3317579b3d158628d1122309cd5db56,canada_house_of_commons,federal-2023-representation-order,35022,Davenport,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_b9f19ee75fd75ed7a5d070d7acb6ba5f,canada_house_of_commons,federal-2023-representation-order,35023,Don Valley North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ae0ceb491bdf5042b9384f419c7579fa,canada_house_of_commons,federal-2023-representation-order,35024,Don Valley West,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_069a8f1c6fe95ab5a65a83ca5925c796,canada_house_of_commons,federal-2023-representation-order,35026,Eglinton—Lawrence,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_780b90119e715fcabbfbfa777d651cd5,canada_house_of_commons,federal-2023-representation-order,35029,Etobicoke Centre,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_ef70e7f8679c51a696c99220332c3d21,canada_house_of_commons,federal-2023-representation-order,35030,Etobicoke—Lakeshore,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_4b2ae5bbe097507f9d732d91f1c00a3f,canada_house_of_commons,federal-2023-representation-order,35031,Etobicoke North,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_43698d08fce259978ba72e60611624a0,canada_house_of_commons,federal-2023-representation-order,35041,Humber River—Black Creek,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_11198c1c6d375f90a7259a41ae4ff3e1,canada_house_of_commons,federal-2023-representation-order,35092,Scarborough—Agincourt,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_135f2f2a280a5a038f9ea59aa6f30269,canada_house_of_commons,federal-2023-representation-order,35093,Scarborough Centre—Don Valley East,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
dst_bd58762ec5d05d2b89c160c7931dddf2,canada_house_of_commons,federal-2023-representation-order,35094,Scarborough—Guildwood—Rouge Park,not_acquired,federal_district_geometry_not_acquired,EPSG:4326,,,,,,,,
