endorsement_id,endorser_id,contest_id,candidacy_id
end_0d97575bc95b5f92b9ad1795952d1adf,edr_7130092faf1a5c159a3507bbd8db42ee,con_004711e5bbda5d169a7774d906befd21,can_4ada97541b6c547ca17e6e9983ae4c30
end_2b084a83593d57149ae3d548c91c9888,edr_7130092faf1a5c159a3507bbd8db42ee,con_02e530a81bf75a6bbf6b4ca0a9ea6738,can_1c1054e3ef455df484dfe8f91a62e85a
end_55f57f590b2a53b69c67e9878aa10b4c,edr_60054ff9f17d5cb5889a78d123699005,con_037ae72c455f558590ca04bc929df4cb,can_cc7dfd8b06db51e592901dc4b159ca78
end_b8e40babf9ec5caf8e0351097421d16a,edr_7130092faf1a5c159a3507bbd8db42ee,con_037ae72c455f558590ca04bc929df4cb,can_f1bfda454f1a55febe96be2c77bc773d
end_8a75e978470050f8bfcb6b5e8e583323,edr_7130092faf1a5c159a3507bbd8db42ee,con_04a4bbe5ef575c72b4ec49d601f24b71,can_49f82b04f6c35129b9d12c53f87055e9
end_295deb6c419159cb894de0218ebd0c3a,edr_7130092faf1a5c159a3507bbd8db42ee,con_099fbf24dd655a0e8b1720fbe2215a6a,can_3d13fbd9fab452a5b347fb048574b6c4
end_c542b8843dce54299167ed6a42b7d8fe,edr_7ba4ca8cc46e50b3b3184eae43467614,con_099fbf24dd655a0e8b1720fbe2215a6a,can_d37ad909fb1c5173be971d0fb7fa193a
end_590048a60704588abf34b8c2a94b1bf0,edr_a7c5fbf78b725c8db8ec32c4c4fc177a,con_099fbf24dd655a0e8b1720fbe2215a6a,can_d37ad909fb1c5173be971d0fb7fa193a
end_acd96da8fcc95ed6b6a0c23ec56402b2,edr_b354a54e105b5740832e28b07732b4c3,con_099fbf24dd655a0e8b1720fbe2215a6a,can_6c8763577a0f5896a1f2c406b63dac92
end_7e46a16b799f5d98bea3111906f35a71,edr_efc8ef876caa50c3b1edab9e52464b32,con_099fbf24dd655a0e8b1720fbe2215a6a,can_3d13fbd9fab452a5b347fb048574b6c4
